ID_CLIENT;DATE_ENTREE;NOM;PAYS;SEXE;AGE;MEMBRE_ACTIF
15688172;2015-06-01 00:00:00;Tai;Espagne;H;40;No
15787258;2014-04-01 00:00:00;Ross;Espagne;F;29;No
15791700;2018-01-01 00:00:00;Ugochukwutubelum;Allemagne;H;47;Yes
15569438;2010-01-01 00:00:00;Mai;Allemagne;H;36;No
15778947;2017-05-01 00:00:00;Sullivan;France;H;36;Yes
15686780;2019-03-01 00:00:00;Rogova;Espagne;F;55;Yes
15631222;2018-04-01 00:00:00;Cattaneo;France;F;39;Yes
15775235;2014-04-01 00:00:00;Ku;France;F;36;No
15684248;2013-02-01 00:00:00;Meng;Espagne;H;21;Yes
15640953;2018-04-01 00:00:00;Bligh;France;F;26;Yes
15611551;2019-01-01 00:00:00;Hill;Espagne;H;48;Yes
15756118;2012-01-01 00:00:00;T'ao;Espagne;H;20;No
15649183;2012-02-01 00:00:00;Johnston;Espagne;F;35;Yes
15777122;2016-06-01 00:00:00;Esomchi;France;F;31;Yes
15711991;2012-06-01 00:00:00;Chiawuotu;France;H;30;No
15693131;2017-01-01 00:00:00;Watts;France;F;24;Yes
15714391;2018-04-01 00:00:00;Lai;France;F;35;Yes
15776545;2010-05-01 00:00:00;Napolitani;France;H;28;Yes
15804602;2014-01-01 00:00:00;Boyd;Allemagne;H;30;No
15748068;2017-02-01 00:00:00;Boyle;Espagne;F;31;Yes
15812422;2018-02-01 00:00:00;Ugorji;France;H;41;Yes
15656086;2012-02-01 00:00:00;Bovee;Espagne;H;54;Yes
15719212;2015-03-01 00:00:00;T'ien;France;H;33;No
15791321;2016-03-01 00:00:00;Nwora;Espagne;F;58;No
15613319;2020-02-01 00:00:00;Rice;France;F;33;No
15642821;2012-01-01 00:00:00;Ijendu;Espagne;F;48;No
15584190;2013-02-01 00:00:00;Esposito;France;H;36;Yes
15803749;2016-01-01 00:00:00;DeRose;Allemagne;F;41;Yes
15590820;2014-01-01 00:00:00;Ecuyer;Espagne;H;26;No
15779711;2013-06-01 00:00:00;Gray;Espagne;F;38;Yes
15751167;2016-02-01 00:00:00;Toscano;France;F;43;Yes
